و	C
في	PREP
جميع	N
ال	DET
حالات	N
.	PUNCT
و	C
رغم	N
ال	DET
داء	N
و	C
ال	DET
اعداء	N
.	PUNCT
ترك	VBD
في	PREP
قلوب	N
نا	PRO
الما	N
&	PUNCT
quot	FW
;	PUNCT
محبوس	N
&	PUNCT
quot	FW
;.	PUNCT
سنست	N
ي	PRO
!	PUNCT
دك	N
؟	PUNCT
اشبي	INTEROG
ك	PRO
هزيت	VBD
و	PRO
رجعت	VBD
و	C
من	PREP
ها	PRO
هزيت	VBD
و	C
رجعت	VBD
؟	PUNCT
ال	DET
طفلة	N
كي	PREP
تعيش	VBZ
شباب	N
ها	PRO
ماهيش	NEGCOP
بنت	N
عايلة	N
.	PUNCT
و	C
رغم	N
ال	DET
داء	N
و	C
ال	DET
اعداء	N
.	PUNCT
اي	PART
درجين	N
ب	PREP
ال	DET
عربي	N
ال	DET
فصيح	ADJ
.	PUNCT
تدلت	VBD
ال	DET
فوانيس	N
فشكلت	VBD
اجمل	N
صورة	N
و	C
رسمت	VBD
على	PREP
حيوط	N
ال	DET
قاعة	ADJ
اجمل	N
ايات	N
الله	N
.	PUNCT
ال	DET
قيمة	N
،	PUNCT
ارجع	VBD
ي	PRO
ل	PREP
كتاب	N
راس	N
ال	DET
مال	N
!	PUNCT
والا	PART
تحبوا	VBZ
تعطي	VBZ
ل	PREP
سيد	N
ي	PRO
ب	PREP
وزيد	N
ميزانية	N
كاكتيس	N
؟	PUNCT
يستقبلو	VBZ
ه	PRO
ب	PREP
ال	DET
حملة	N
و	C
ال	DET
هلالو	N
.	PUNCT
هناك	ADV
خونة	N
و	C
اول	N
هم	PRO
ال	DET
رياحي	N
و	C
طبيب	N
ال	DET
فريق	N
و	C
ال	DET
معد	N
ال	DET
بدني	ADJ
و	C
ال	DET
ثابتي	ADJ
و	C
و	C
و	C
.	PUNCT
و	C
مشاوا	VBD
.	PUNCT
و	C
في	PREP
ال	DET
سيزيام	N
نرمييو	VBZ
ل	PREP
ها	PRO
و	C
