و	C
في	P
جميع	N
ال	DET
حالات	N
.	PUNCT
و	C
رغم	N
ال	DET
داء	N
و	C
ال	DET
أعداء	N
.	PUNCT
ترك	N
في	P
قلوب	N
نا	PRO
ألما	N
&	PUNCT
quot	FW
;	PUNCT
محبوس	N
&	PUNCT
quot	FW
;.	PUNCT
سن	N
ست	N
ي	PRO
!	PUNCT
دك	N
؟	PUNCT
آشبي	N
ك	PRO
هز	N
يت	N
و	C
رج	N
عت	N
و	C
من	N
ها	PRO
هزيت	N
و	C
رجعت	VBD
؟	PUNCT
ال	DET
طفلة	N
كي	P
تعيش	VBZ
شباب	N
ها	PRO
ماهيش	NEGCOP
بنت	VBD
عايلة	N
.	PUNCT
و	C
رغم	N
ال	DET
داء	N
و	C
ال	DET
أعداء	N
.	PUNCT
اي	N
درجين	N
ب	P
ال	DET
عربي	N
ال	DET
فصيح	N
.	PUNCT
تدلت	VBD
ال	DET
فوانيس	N
فشكلت	VBD
أجمل	N
صورة	N
و	C
رسمت	VBD
على	P
حيوط	N
ال	DET
قاعة	N
أجمل	N
أيات	VBD
الله	N
.	PUNCT
ال	DET
قيمة	N
،	PUNCT
أرجع	N
ي	PRO
ل	P
كتاب	N
راس	N
ال	DET
مال	N
!	PUNCT
وإلا	N
تحبوا	VBZ
تعطي	VBZ
ل	P
سيد	N
ي	PRO
ب	P
وزيد	N
ميزانية	N
كاكتيس	N
؟	PUNCT
يستقبلو	VBZ
ه	PRO
ب	P
ال	DET
حملة	N
و	C
ال	DET
هلالو	N
.	PUNCT
هنا	N
ك	PRO
خونة	N
وا	VBD
و	PRO
ل	P
هم	PRO
ال	DET
رياحي	N
و	C
طبيب	N
ال	DET
فريق	N
و	C
ال	DET
معد	N
ال	DET
بدني	N
و	C
ال	DET
ثابتي	N
و	C
وو	N
.	PUNCT
و	C
مشاوا	VBD
.	PUNCT
و	C
في	N
ال	DET
سيزيام	N
نرمييو	VBZ
ل	P
ها	PRO
و	C
في	N
ال	DET
نوفيام	N
نرمييو	VBZ
ل	P
ها	PRO
.	PUNCT
تعب	N
وراء	N
ال	DET
علوم	N
لاهثا	N
.	PUNCT
فقالوا	VBD
:«	PUNCT
یا	N
سید	VBD
نا	PRO
ذمی	N
».	PUNCT
ما	N
إتنج	N
مش	NEG
حت	N
ى	N
إتسافر	N
.	PUNCT
و	C
ال	DET
وديل	N
متع	N
الص	N
ور	N
.	PUNCT
اتبهذلو	VBD
ني	PRO
وسط	N
ال	DET
جموع	N
.	PUNCT
شوفو	VBD
ال	DET
كياسات	N
كي	P
و	C
لات	VBD
في	P
عهد	N
ال	DET
تحول	N
.	PUNCT
عجب	N
يا	N
سي	N
كمال	N
.	PUNCT
و	C
اللي	REL
م	P
نج	N
مش	NEG
يحرق	VBZ
مرحبا	N
بي	N
ه	PRO
.	PUNCT
قلت	VBD
صلى	N
الله	N
علي	P
ه	PRO
و	C
سلم	N
.	PUNCT
ب	P
ال	DET
تفرفيش	N
و	C
ال	DET
طلامس	N
و	C
ال	DET
تبقشيش	N
.	PUNCT
نرى	VBZ
في	N
ها	PRO
ال	DET
مرأة	N
ال	DET
صالحة	N
و	C
ال	DET
تقية	N
اللي	REL
تفهم	N
دين	N
ها	PRO
و	C
ما	N
تطيح	VBZ
ش	NEG
في	P
ال	DET
خطيءة	N
.	PUNCT
سارق	N
كل	N
ها	N
شربة	N
.	PUNCT
انتم	VBZ
مثقفون	N
ومجازون	N
و	C
تفعلون	VBZ
ذلك	N
بأنفس	N
كم	PRO
.	PUNCT
و	C
شيء	N
يقول	N
و	PRO
ملقحين	VBD
و	PRO
.	PUNCT
ال	DET
داهما	N
:	PUNCT
بر	N
ا	N
هاهوكا	N
في	P
ال	DET
بيت	N
كنت	VBD
انا	PRO
نسيرج	VBZ
بي	N
ه	PRO
.	PUNCT
ال	DET
طراجي	N
.	PUNCT
و	C
ال	DET
نتيجة	N
:	PUNCT
نمشيو	VBZ
احنا	PRO
في	P
ال	DET
ساقين	N
.	PUNCT
ال	DET
فريسة	N
متع	N
ديد	N
ي	PRO
ال	DET
جديدة	N
تستنى	VBZ
من	N
و	PRO
في	P
دينار	N
.	PUNCT
كاين	N
و	PRO
ال	DET
سذاجة	N
و	C
ال	DET
تخل	N
ف	N
ال	DET
ذهني	N
هو	PRO
من	P
شروط	N
ال	DET
ديمقراطية	N
.	PUNCT
و	C
حلو	VBD
ه	N
.	PUNCT
ش	N
&	PUNCT
quot	FW
;	PUNCT
م	P
Publié	FW
par	FW
Clandestino	FW
à	FW
l	FW
&#	PUNCT
x	FW
88	PUNCT
;	PUNCT
adresse	FW
88	PUNCT
:	PUNCT
88	PUNCT
88	PUNCT
commentaires	FW
Libellés	FW
:	PUNCT
tunisie	FW
,	PUNCT
ال	DET
روتين	N
ال	DET
يومي	N
ادارة	N
تونسية	N
,	PUNCT
صح	N
ة	N
عمومية	N
,	PUNCT
عجز	N
جنس	N
ي	PRO
مزمن	N
,	PUNCT
ميزيريا	N
كلبة	N
Liens	FW
vers	FW
ce	FW
message	FW
ملا	N
